"name","type","class","exported","generic","args","package","Rversion"
"call                      ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"case.names                ","closure    ","           ","TRUE","FALSE","(obj, ...)                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"case.names.lm             ","closure    ","           ","TRUE","FALSE","(obj, full = FALSE)                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"cat                       ","closure    ","           ","TRUE","FALSE","(..., file = \""\"", sep = \"" \"", fill = FALSE, labels = NULL, \t    append = FALSE)                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
"cbind                     ","closure    ","           ","TRUE","FALSE","(..., deparse.level = 1)                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"cbind.data.frame          ","closure    ","           ","TRUE","FALSE","(..., deparse.level = 1)                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"ceiling                   ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"char.expand               ","closure    ","           ","TRUE","FALSE","(input, target, nomatch = stop(\""no match\""))                                                                                                                                                                                                                                                                                                                            ","base   ","0.62.4"
"character                 ","closure    ","           ","TRUE","FALSE","(length = 0)                                                                                                                                                                                                                                                                                                                                                             ","base   ","0.62.4"
"charmatch                 ","closure    ","           ","TRUE","FALSE","(x, table, nomatch = NA)                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"check.bounds              ","closure    ","           ","TRUE","FALSE","(on = TRUE)                                                                                                                                                                                                                                                                                                                                                              ","base   ","0.62.4"
"check.options             ","closure    ","           ","TRUE","FALSE","(new, name.opt, reset = FALSE, assign.opt = FALSE, envir = .GlobalEnv, \t    check.attributes = c(\""mode\"", \""length\""), override.check = FALSE)                                                                                                                                                                                                                         ","base   ","0.62.4"
"chisq.test                ","closure    ","           ","TRUE","FALSE","(x, y = NULL, correct = TRUE, p = rep(1/length(x), length(x)))                                                                                                                                                                                                                                                                                                           ","base   ","0.62.4"
"chol                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"chol2inv                  ","closure    ","           ","TRUE","FALSE","(x, size = ncol(x))                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"choose                    ","closure    ","           ","TRUE","FALSE","(n, k)                                                                                                                                                                                                                                                                                                                                                                   ","base   ","0.62.4"
"class                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"class<-                   ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"cm                        ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"co.intervals              ","closure    ","           ","TRUE","FALSE","(x, number = 6, overlap = 0.5)                                                                                                                                                                                                                                                                                                                                           ","base   ","0.62.4"
"codes                     ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"codes.factor              ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"codes.ordered             ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"codes<-                   ","closure    ","           ","TRUE","FALSE","(x, value)                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"coef                      ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"coef.aov                  ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"coef.default              ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"coef.glm                  ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"coef.lm                   ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"coefficients              ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"col                       ","closure    ","           ","TRUE","FALSE","(x, as.factor = FALSE)                                                                                                                                                                                                                                                                                                                                                   ","base   ","0.62.4"
"colnames                  ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"colnames<-                ","closure    ","           ","TRUE","FALSE","(x, value)                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"colors                    ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
"colours                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
"comment                   ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"comment<-                 ","closure    ","           ","TRUE","FALSE","(x, value)                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"complete.cases            ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"complex                   ","closure    ","           ","TRUE","FALSE","(length.out = 0, real = numeric(), imaginary = numeric(), \t    modulus = 1, argument = 0)                                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"contour                   ","closure    ","           ","TRUE","FALSE","(x = seq(0, 1, len = nrow(z)), y = seq(0, 1, len = ncol(z)), \t    z, nlevels = 10, levels = pretty(range(z, finite = TRUE), \t    \t    nlevels), labcex = 0, xlim = range(x, finite = TRUE), \t    ylim = range(y, finite = TRUE), col = par(\""fg\""), lty = par(\""lty\""), \t    add = FALSE, ...)                                                                      ","base   ","0.62.4"
"contr.helmert             ","closure    ","           ","TRUE","FALSE","(n, contrasts = TRUE)                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"contr.poly                ","closure    ","           ","TRUE","FALSE","(n, contrasts = TRUE)                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"contr.sum                 ","closure    ","           ","TRUE","FALSE","(n, contrasts = TRUE)                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"contr.treatment           ","closure    ","           ","TRUE","FALSE","(n, contrasts = TRUE)                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"contrasts                 ","closure    ","           ","TRUE","FALSE","(x, contrasts = TRUE)                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"contrasts<-               ","closure    ","           ","TRUE","FALSE","(x, how.many, value)                                                                                                                                                                                                                                                                                                                                                     ","base   ","0.62.4"
"convolve                  ","closure    ","           ","TRUE","FALSE","(x, y, conj = TRUE)                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"cooks.distance            ","closure    ","           ","TRUE","FALSE","(lm.obj)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"coplot                    ","closure    ","           ","TRUE","FALSE","(formula, data, given.values, panel = points, rows, \t    columns, show.given = TRUE, col = par(\""fg\""), pch = par(\""pch\""), \t    ...)                                                                                                                                                                                                                                  ","base   ","0.62.4"
"cor                       ","closure    ","           ","TRUE","FALSE","(x, y = NULL, use = \""all.obs\"")                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"cos                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"cosh                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"count.fields              ","closure    ","           ","TRUE","FALSE","(file, sep = \""\"", skip = 0)                                                                                                                                                                                                                                                                                                                                             ","base   ","0.62.4"
"cov                       ","closure    ","           ","TRUE","FALSE","(x, y = NULL, use = \""all.obs\"")                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"cov.wt                    ","closure    ","           ","TRUE","FALSE","(x, wt = rep(1/nrow(x), nrow(x)), cor = FALSE, center = TRUE)                                                                                                                                                                                                                                                                                                            ","base   ","0.62.4"
"covratio                  ","closure    ","           ","TRUE","FALSE","(lm.obj)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"crossprod                 ","closure    ","           ","TRUE","FALSE","(x, y = x)                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"cummax                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"cummin                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"cumprod                   ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"cumsum                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"curve                     ","closure    ","           ","TRUE","FALSE","(expr, from, to, n = 101, add = FALSE, type = \""l\"", ...)                                                                                                                                                                                                                                                                                                                ","base   ","0.62.4"
"cut                       ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"cut.default               ","closure    ","           ","TRUE","FALSE","(x, breaks, labels = NULL, include.lowest = FALSE, right = TRUE, \t    dig.lab = 3)                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"data                      ","closure    ","           ","TRUE","FALSE","(..., list = character(0), package = c(.packages(), \t    .Autoloaded), lib.loc = .lib.loc, trace = FALSE)                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"data.class                ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"data.entry                ","closure    ","           ","TRUE","FALSE","(..., Modes = NULL, Names = NULL)                                                                                                                                                                                                                                                                                                                                        ","base   ","0.62.4"
"data.frame                ","closure    ","           ","TRUE","FALSE","(..., row.names = NULL, check.rows = FALSE, check.names = TRUE)                                                                                                                                                                                                                                                                                                          ","base   ","0.62.4"
"data.matrix               ","closure    ","           ","TRUE","FALSE","(frame)                                                                                                                                                                                                                                                                                                                                                                  ","base   ","0.62.4"
"dataentry                 ","closure    ","           ","TRUE","FALSE","(data, modes)                                                                                                                                                                                                                                                                                                                                                            ","base   ","0.62.4"
"date                      ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
"dbeta                     ","closure    ","           ","TRUE","FALSE","(x, shape1, shape2, ncp = 0)                                                                                                                                                                                                                                                                                                                                             ","base   ","0.62.4"
"dbinom                    ","closure    ","           ","TRUE","FALSE","(x, size, prob)                                                                                                                                                                                                                                                                                                                                                          ","base   ","0.62.4"
"dcauchy                   ","closure    ","           ","TRUE","FALSE","(x, location = 0, scale = 1)                                                                                                                                                                                                                                                                                                                                             ","base   ","0.62.4"
"dchisq                    ","closure    ","           ","TRUE","FALSE","(x, df, ncp = 0)                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"de                        ","closure    ","           ","TRUE","FALSE","(..., Modes = NULL, Names = NULL)                                                                                                                                                                                                                                                                                                                                        ","base   ","0.62.4"
"de.ncols                  ","closure    ","           ","TRUE","FALSE","(inlist)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"de.restore                ","closure    ","           ","TRUE","FALSE","(inlist, ncols, coltypes, argnames, args)                                                                                                                                                                                                                                                                                                                                ","base   ","0.62.4"
"de.setup                  ","closure    ","           ","TRUE","FALSE","(ilist, list.names, incols)                                                                                                                                                                                                                                                                                                                                              ","base   ","0.62.4"
"debug                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.62.4"
"delay                     ","closure    ","           ","TRUE","FALSE","(x, env = .GlobalEnv)                                                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"delete.response           ","closure    ","           ","TRUE","FALSE","(termobj)                                                                                                                                                                                                                                                                                                                                                                ","base   ","0.62.4"
"demo                      ","closure    ","           ","TRUE","FALSE","(topic, device = x11, directory.sep = \""/\"")                                                                                                                                                                                                                                                                                                                             ","base   ","0.62.4"
"density                   ","closure    ","           ","TRUE","FALSE","(x, bw, adjust = 1, kernel = \""gaussian\"", window = kernel, \t    n = 512, width, from, to, cut = 3, na.rm = FALSE)                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"deparse                   ","closure    ","           ","TRUE","FALSE","(expr, width.cutoff = 60)                                                                                                                                                                                                                                                                                                                                                ","base   ","0.62.4"
"deriv                     ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
"deriv.default             ","closure    ","           ","TRUE","FALSE","(expr, namevec, function.arg = NULL, tag = \"".expr\"")                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"deriv.formula             ","closure    ","           ","TRUE","FALSE","(expr, namevec, function.arg = NULL, tag = \"".expr\"")                                                                                                                                                                                                                                                                                                                    ","base   ","0.62.4"
"detach                    ","closure    ","           ","TRUE","FALSE","(name, pos = 2)                                                                                                                                                                                                                                                                                                                                                          ","base   ","0.62.4"
"dev.control               ","closure    ","           ","TRUE","FALSE","(displaylist)                                                                                                                                                                                                                                                                                                                                                            ","base   ","0.62.4"
"dev.copy                  ","closure    ","           ","TRUE","FALSE","(device, ..., which = dev.next())                                                                                                                                                                                                                                                                                                                                        ","base   ","0.62.4"
"dev.cur                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
"dev.list                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.62.4"
"dev.next                  ","closure    ","           ","TRUE","FALSE","(which = dev.cur())                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"dev.off                   ","closure    ","           ","TRUE","FALSE","(which = dev.cur())                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"dev.prev                  ","closure    ","           ","TRUE","FALSE","(which = dev.cur())                                                                                                                                                                                                                                                                                                                                                      ","base   ","0.62.4"
"dev.print                 ","closure    ","           ","TRUE","FALSE","(device = postscript, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","0.62.4"
"dev.set                   ","closure    ","           ","TRUE","FALSE","(which = dev.next())                                                                                                                                                                                                                                                                                                                                                     ","base   ","0.62.4"
"deviance                  ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                 ","base   ","0.62.4"
