"name","type","class","S3method","generic","package","Rversion"
"Sys.getpid","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.glob","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.info","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.localeconv","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.readlink","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.setFileTime","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.setenv","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.setlocale","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.sleep","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.time","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.timezone","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.umask","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.unsetenv","closure","function",FALSE,FALSE,"base","3.3.2"
"Sys.which","closure","function",FALSE,FALSE,"base","3.3.2"
"T","logical","logical",FALSE,FALSE,"base","3.3.2"
"UseMethod","special","function",FALSE,FALSE,"base","3.3.2"
"Vectorize","closure","function",FALSE,FALSE,"base","3.3.2"
"[","special","function",FALSE,TRUE,"base","3.3.2"
"[.AsIs","closure","function",TRUE,FALSE,"base","3.3.2"
"[.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"[.Dlist","closure","function",TRUE,FALSE,"base","3.3.2"
"[.POSIXct","closure","function",TRUE,FALSE,"base","3.3.2"
"[.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.2"
"[.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"[.difftime","closure","function",TRUE,FALSE,"base","3.3.2"
"[.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"[.hexmode","closure","function",TRUE,FALSE,"base","3.3.2"
"[.listof","closure","function",TRUE,FALSE,"base","3.3.2"
"[.noquote","closure","function",TRUE,FALSE,"base","3.3.2"
"[.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"[.octmode","closure","function",TRUE,FALSE,"base","3.3.2"
