"name","type","class","exported","generic","args","package","Rversion"
"D                         ","closure    ","           ","TRUE","FALSE","(expr, namevec)                                                                                                                                                                                                                                                                                                                                                ","base   ","0.63.0"
"F                         ","logical    ","           ","TRUE","FALSE","NA","base   ","0.63.0"
"Gamma                     ","closure    ","           ","TRUE","FALSE","(link = \""inverse\"")                                                                                                                                                                                                                                                                                                                                           ","base   ","0.63.0"
"I                         ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","0.63.0"
"IQR                       ","closure    ","           ","TRUE","FALSE","(x, na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                             ","base   ","0.63.0"
"Im                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"LETTERS                   ","character  ","           ","TRUE","FALSE","NA","base   ","0.63.0"
"Machine                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","0.63.0"
"Math.data.frame           ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"Math.factor               ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"Mod                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"NCOL                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","0.63.0"
"NROW                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","0.63.0"
"NextMethod                ","closure    ","           ","TRUE","FALSE","(generic = NULL, object = NULL, ...)                                                                                                                                                                                                                                                                                                                           ","base   ","0.63.0"
"Ops.data.frame            ","closure    ","           ","TRUE","FALSE","(e1, e2 = NULL)                                                                                                                                                                                                                                                                                                                                                ","base   ","0.63.0"
"Ops.factor                ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"Ops.ordered               ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"Re                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"Recall                    ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                          ","base   ","0.63.0"
"Summary.data.frame        ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"Summary.factor            ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"T                         ","logical    ","           ","TRUE","FALSE","NA","base   ","0.63.0"
"UseMethod                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"Version                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","0.63.0"
"X11                       ","closure    ","           ","TRUE","FALSE","(display = \""\"", width = 7, height = 7, pointsize = 12)                                                                                                                                                                                                                                                                                                        ","base   ","0.63.0"
"[                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"[.data.frame              ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = if (missing(i)) TRUE else length(cols) ==     1)                                                                                                                                                                                                                                                                                              ","base   ","0.63.0"
"[.factor                  ","closure    ","           ","TRUE","FALSE","(x, i, drop = FALSE)                                                                                                                                                                                                                                                                                                                                           ","base   ","0.63.0"
"[.formula                 ","closure    ","           ","TRUE","FALSE","(x, i)                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.63.0"
"[.noquote                 ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"[.ts                      ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = TRUE)                                                                                                                                                                                                                                                                                                                                         ","base   ","0.63.0"
"[<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"[<-.data.frame            ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"[<-.factor                ","closure    ","           ","TRUE","FALSE","(x, i, value)                                                                                                                                                                                                                                                                                                                                                  ","base   ","0.63.0"
"[[                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"[[.data.frame             ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"[[<-                      ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"[[<-.data.frame           ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"^                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"abbreviate                ","closure    ","           ","TRUE","FALSE","(names.arg, minlength = 4, use.classes = TRUE, dot = FALSE)                                                                                                                                                                                                                                                                                                    ","base   ","0.63.0"
"abline                    ","closure    ","           ","TRUE","FALSE","(a = NULL, b = NULL, h = NULL, v = NULL, reg = NULL,     coef = NULL, col = par(\""col\""), lty = par(\""lty\""), ...)                                                                                                                                                                                                                                             ","base   ","0.63.0"
"abs                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"acos                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"acosh                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"add.scope                 ","closure    ","           ","TRUE","FALSE","(terms1, terms2)                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"add1                      ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","0.63.0"
"add1.default              ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\""),     k = 2, trace = FALSE, ...)                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"add1.glm                  ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\""),     x = NULL, k = 2, ...)                                                                                                                                                                                                                                                                            ","base   ","0.63.0"
"add1.lm                   ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\"",     \""F\""), x = NULL, k = 2, ...)                                                                                                                                                                                                                                                                     ","base   ","0.63.0"
"add1.mlm                  ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                          ","base   ","0.63.0"
"alias                     ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","0.63.0"
"alias.formula             ","closure    ","           ","TRUE","FALSE","(object, data, ...)                                                                                                                                                                                                                                                                                                                                            ","base   ","0.63.0"
"alias.lm                  ","closure    ","           ","TRUE","FALSE","(object, complete = TRUE, partial = FALSE, partial.pattern = FALSE,     ...)                                                                                                                                                                                                                                                                                   ","base   ","0.63.0"
"alist                     ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                          ","base   ","0.63.0"
"all                       ","closure    ","           ","TRUE","FALSE","(..., na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                           ","base   ","0.63.0"
"all.names                 ","closure    ","           ","TRUE","FALSE","(expr, functions = TRUE, max.names = 200, unique = FALSE)                                                                                                                                                                                                                                                                                                      ","base   ","0.63.0"
"all.vars                  ","closure    ","           ","TRUE","FALSE","(expr, functions = FALSE, max.names = 200, unique = TRUE)                                                                                                                                                                                                                                                                                                      ","base   ","0.63.0"
"anova                     ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"anova.glm                 ","closure    ","           ","TRUE","FALSE","(object, ..., test = NULL, na.action = na.omit)                                                                                                                                                                                                                                                                                                                ","base   ","0.63.0"
"anova.glm.null            ","closure    ","           ","TRUE","FALSE","(object, ..., test = NULL, na.action = na.omit)                                                                                                                                                                                                                                                                                                                ","base   ","0.63.0"
"anova.glmlist             ","closure    ","           ","TRUE","FALSE","(object, test = NULL, na.action = na.omit)                                                                                                                                                                                                                                                                                                                     ","base   ","0.63.0"
"anova.lm                  ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","0.63.0"
"anova.lm.null             ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","0.63.0"
"anova.mlm                 ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                          ","base   ","0.63.0"
"anovalist.lm              ","closure    ","           ","TRUE","FALSE","(object, ..., test = NULL)                                                                                                                                                                                                                                                                                                                                     ","base   ","0.63.0"
