"name","type","class","exported","generic","args","package","Rversion"
"!                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"!=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"$                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"$<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"%%                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"%*%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"%/%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"%in%                      ","closure    ","           ","TRUE","FALSE","(x, y)                                                                                                                                                                                                                                                                                                                                                         ","base   ","0.63.0"
"%o%                       ","closure    ","           ","TRUE","FALSE","(x, y, FUN = \""*\"", ...)                                                                                                                                                                                                                                                                                                                                       ","base   ","0.63.0"
"&                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"&&                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"(                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"*                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"+                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"-                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
".Alias                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
".AutoloadEnv              ","environment","           ","TRUE","FALSE","NA","base   ","0.63.0"
".C                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
".Defunct                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","0.63.0"
".Deprecated               ","closure    ","           ","TRUE","FALSE","(new)                                                                                                                                                                                                                                                                                                                                                          ","base   ","0.63.0"
".Device                   ","character  ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Devices                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Fortran                  ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
".GlobalEnv                ","environment","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Internal                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
".Last.value               ","character  ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Library                  ","character  ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Machine                  ","list       ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".NotYetImplemented        ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","0.63.0"
".NotYetUsed               ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","0.63.0"
".Options                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Pars                     ","character  ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Pars.readonly            ","character  ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".Platform                 ","list       ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".PostScript.Options       ","list       ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".lib.loc                  ","character  ","           ","TRUE","FALSE","NA","base   ","0.63.0"
".packages                 ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","0.63.0"
"/                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
":                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"<                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"<-                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"<<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"<=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"==                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
">                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
">=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"Arg                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
"C                         ","closure    ","           ","TRUE","FALSE","(object, contr, how.many)                                                                                                                                                                                                                                                                                                                                      ","base   ","0.63.0"
"Conj                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","0.63.0"
