"name","type","class","exported","S4generic","args","package","priority","Rversion","hidden"
".Alias                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0", TRUE
".AutoloadEnv              ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".C                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0", TRUE
".Call                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0", TRUE
".Defunct                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0", TRUE
".Deprecated               ","closure    ","           ","TRUE","FALSE","(new)                                                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0", TRUE
".Device                   ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Devices                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".External                 ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0", TRUE
".Fortran                  ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0", TRUE
".GlobalEnv                ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Internal                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0", TRUE
".Last.value               ","NULL       ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Library                  ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Machine                  ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".NotYetImplemented        ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0", TRUE
".NotYetUsed               ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0", TRUE
".Options                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Pars                     ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Pars.readonly            ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Platform                 ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".PostScript.Options       ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".Primitive                ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0", TRUE
".lib.loc                  ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0", TRUE
".packages                 ","closure    ","           ","TRUE","FALSE","(all.available = FALSE, lib.loc = .lib.loc)                                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.65.0", TRUE
"/                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
":                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"<                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"<-                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"<<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"<=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"==                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
">                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
">=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"Arg                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"C                         ","closure    ","           ","TRUE","FALSE","(object, contr, how.many, ...)                                                                                                                                                                                                                                                                                                                                                                                         ","base   ","NA","0.65.0",FALSE
"Conj                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"D                         ","closure    ","           ","TRUE","FALSE","(expr, namevec)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"F                         ","logical    ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0",FALSE
"GNOME                     ","closure    ","           ","TRUE","FALSE","(display = \""\"", width = 7, height = 7, pointsize = 12)                                                                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.65.0",FALSE
"Gamma                     ","closure    ","           ","TRUE","FALSE","(link = \""inverse\"")                                                                                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.65.0",FALSE
"I                         ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"IQR                       ","closure    ","           ","TRUE","FALSE","(x, na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"Im                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"LETTERS                   ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0",FALSE
"Machine                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"Math.data.frame           ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"Math.factor               ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"Mod                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"NCOL                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"NROW                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"NextMethod                ","closure    ","           ","TRUE","FALSE","(generic = NULL, object = NULL, ...)                                                                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.65.0",FALSE
"Ops.data.frame            ","closure    ","           ","TRUE","FALSE","(e1, e2 = NULL)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"Ops.factor                ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"Ops.ordered               ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"Platform                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"R.Version                 ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"R.home                    ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"R.version                 ","list       ","simple.list","TRUE","FALSE","NA","base   ","NA","0.65.0",FALSE
"R.version.string          ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0",FALSE
"RNGkind                   ","closure    ","           ","TRUE","FALSE","(kind = NULL)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"Re                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"Recall                    ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0",FALSE
"Summary.data.frame        ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"Summary.factor            ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"T                         ","logical    ","           ","TRUE","FALSE","NA","base   ","NA","0.65.0",FALSE
"UseMethod                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"Version                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"X11                       ","closure    ","           ","TRUE","FALSE","(display = \""\"", width = 7, height = 7, pointsize = 12,     gamma = 1, colortype = options()$X11colortype, maxcubesize = 256)                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"[                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"[.data.frame              ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = if (missing(i)) TRUE else length(cols) ==     1)                                                                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.65.0",FALSE
"[.factor                  ","closure    ","           ","TRUE","FALSE","(x, i, drop = FALSE)                                                                                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.65.0",FALSE
"[.formula                 ","closure    ","           ","TRUE","FALSE","(x, i)                                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.65.0",FALSE
"[.noquote                 ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"[.ts                      ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = TRUE)                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.65.0",FALSE
"[<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"[<-.data.frame            ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"[<-.factor                ","closure    ","           ","TRUE","FALSE","(x, i, value)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"[[                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"[[.data.frame             ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"[[<-                      ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"[[<-.data.frame           ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"^                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"abbreviate                ","closure    ","           ","TRUE","FALSE","(names.arg, minlength = 4, use.classes = TRUE, dot = FALSE)                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.65.0",FALSE
"abline                    ","closure    ","           ","TRUE","FALSE","(a = NULL, b = NULL, h = NULL, v = NULL, reg = NULL,     coef = NULL, col = par(\""col\""), lty = par(\""lty\""), lwd = NULL,     ...)                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"abs                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"acos                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
