"name","type","class","exported","S4generic","args","package","priority","Rversion","hidden"
"!                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"!=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"$                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"$<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"%%                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"%*%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"%/%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"%in%                      ","closure    ","           ","TRUE","FALSE","(x, y)                                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.65.0",FALSE
"%o%                       ","closure    ","           ","TRUE","FALSE","(X, Y, FUN = \""*\"", ...)                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"%x%                       ","closure    ","           ","TRUE","FALSE","(X, Y, FUN = \""*\"", make.dimnames = FALSE, ...)                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"&                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"&&                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"(                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"*                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"+                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"-                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
