"name","type","class","S3method","generic","package","Rversion"
"!","builtin","function",FALSE,FALSE,"base","3.4.1"
"!.hexmode","closure","function",TRUE,FALSE,"base","3.4.1"
"!.octmode","closure","function",TRUE,FALSE,"base","3.4.1"
"!=","builtin","function",FALSE,TRUE,"base","3.4.1"
"$","special","function",FALSE,TRUE,"base","3.4.1"
"$.DLLInfo","closure","function",TRUE,FALSE,"base","3.4.1"
"$.data.frame","closure","function",TRUE,FALSE,"base","3.4.1"
"$.package_version","closure","function",TRUE,FALSE,"base","3.4.1"
"$<-","special","function",FALSE,TRUE,"base","3.4.1"
"$<-.data.frame","closure","function",TRUE,FALSE,"base","3.4.1"
"%%","builtin","function",FALSE,TRUE,"base","3.4.1"
"%*%","builtin","function",FALSE,FALSE,"base","3.4.1"
"%/%","builtin","function",FALSE,TRUE,"base","3.4.1"
"%in%","closure","function",FALSE,FALSE,"base","3.4.1"
"%o%","closure","function",FALSE,FALSE,"base","3.4.1"
"%x%","closure","function",FALSE,FALSE,"base","3.4.1"
"&","builtin","function",FALSE,TRUE,"base","3.4.1"
"&&","special","function",FALSE,FALSE,"base","3.4.1"
"&.hexmode","closure","function",TRUE,FALSE,"base","3.4.1"
"&.octmode","closure","function",TRUE,FALSE,"base","3.4.1"
"(","builtin","function",FALSE,FALSE,"base","3.4.1"
"*","builtin","function",FALSE,TRUE,"base","3.4.1"
"*.difftime","closure","function",TRUE,FALSE,"base","3.4.1"
"+","builtin","function",FALSE,TRUE,"base","3.4.1"
"+.Date","closure","function",TRUE,FALSE,"base","3.4.1"
"+.POSIXt","closure","function",TRUE,FALSE,"base","3.4.1"
"-","builtin","function",FALSE,TRUE,"base","3.4.1"
"-.Date","closure","function",TRUE,FALSE,"base","3.4.1"
"-.POSIXt","closure","function",TRUE,FALSE,"base","3.4.1"
"/","builtin","function",FALSE,TRUE,"base","3.4.1"
"/.difftime","closure","function",TRUE,FALSE,"base","3.4.1"
":","builtin","function",FALSE,FALSE,"base","3.4.1"
"::","closure","function",FALSE,FALSE,"base","3.4.1"
":::","closure","function",FALSE,FALSE,"base","3.4.1"
"<","builtin","function",FALSE,TRUE,"base","3.4.1"
"<-","special","function",FALSE,FALSE,"base","3.4.1"
"<<-","special","function",FALSE,FALSE,"base","3.4.1"
"<=","builtin","function",FALSE,TRUE,"base","3.4.1"
"=","special","function",FALSE,FALSE,"base","3.4.1"
"==","builtin","function",FALSE,TRUE,"base","3.4.1"
">","builtin","function",FALSE,TRUE,"base","3.4.1"
">=","builtin","function",FALSE,TRUE,"base","3.4.1"
"@","special","function",FALSE,FALSE,"base","3.4.1"
"@<-","special","function",FALSE,FALSE,"base","3.4.1"
"Arg","builtin","function",FALSE,FALSE,"base","3.4.1"
"Conj","builtin","function",FALSE,FALSE,"base","3.4.1"
"Cstack_info","closure","function",FALSE,FALSE,"base","3.4.1"
"Encoding","closure","function",FALSE,FALSE,"base","3.4.1"
"Encoding<-","closure","function",FALSE,FALSE,"base","3.4.1"
"F","logical","logical",FALSE,FALSE,"base","3.4.1"
"Filter","closure","function",FALSE,FALSE,"base","3.4.1"
"Find","closure","function",FALSE,FALSE,"base","3.4.1"
"I","closure","function",FALSE,FALSE,"base","3.4.1"
"ISOdate","closure","function",FALSE,FALSE,"base","3.4.1"
"ISOdatetime","closure","function",FALSE,FALSE,"base","3.4.1"
"Im","builtin","function",FALSE,FALSE,"base","3.4.1"
"LETTERS","character","character",FALSE,FALSE,"base","3.4.1"
"La.svd","closure","function",FALSE,FALSE,"base","3.4.1"
"La_library","closure","function",FALSE,FALSE,"base","3.4.1"
"La_version","closure","function",FALSE,FALSE,"base","3.4.1"
"Map","closure","function",FALSE,FALSE,"base","3.4.1"
"Math.Date","closure","function",TRUE,FALSE,"base","3.4.1"
"Math.POSIXt","closure","function",TRUE,FALSE,"base","3.4.1"
"Math.data.frame","closure","function",TRUE,FALSE,"base","3.4.1"
"Math.difftime","closure","function",TRUE,FALSE,"base","3.4.1"
"Math.factor","closure","function",TRUE,FALSE,"base","3.4.1"
"Mod","builtin","function",FALSE,FALSE,"base","3.4.1"
"NCOL","closure","function",FALSE,FALSE,"base","3.4.1"
"NROW","closure","function",FALSE,FALSE,"base","3.4.1"
"Negate","closure","function",FALSE,FALSE,"base","3.4.1"
"NextMethod","closure","function",FALSE,FALSE,"base","3.4.1"
"OlsonNames","closure","function",FALSE,FALSE,"base","3.4.1"
"Ops.Date","closure","function",TRUE,FALSE,"base","3.4.1"
"Ops.POSIXt","closure","function",TRUE,FALSE,"base","3.4.1"
"Ops.data.frame","closure","function",TRUE,FALSE,"base","3.4.1"
"Ops.difftime","closure","function",TRUE,FALSE,"base","3.4.1"
"Ops.factor","closure","function",TRUE,FALSE,"base","3.4.1"
"Ops.numeric_version","closure","function",TRUE,FALSE,"base","3.4.1"
"Ops.ordered","closure","function",TRUE,FALSE,"base","3.4.1"
"Position","closure","function",FALSE,FALSE,"base","3.4.1"
"R.Version","closure","function",FALSE,FALSE,"base","3.4.1"
"R.home","closure","function",FALSE,FALSE,"base","3.4.1"
