"name","type","class","exported","generic","args","package","priority","Rversion"
"GNOME                        ","closure    ","           ","TRUE","FALSE","(display = \""\"", width = 7, height = 7, pointsize = 12)                                                                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.90.1"
"Gamma                        ","closure    ","           ","TRUE","FALSE","(link = \""inverse\"")                                                                                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.90.1"
"I                            ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.90.1"
"IQR                          ","closure    ","           ","TRUE","FALSE","(x, na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
"Im                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"LETTERS                      ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
"Machine                      ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
"Math.data.frame              ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"Math.factor                  ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"Mod                          ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"NCOL                         ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.90.1"
"NROW                         ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.90.1"
"NextMethod                   ","closure    ","           ","TRUE","FALSE","(generic = NULL, object = NULL, ...)                                                                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.90.1"
"Ops.data.frame               ","closure    ","           ","TRUE","FALSE","(e1, e2 = NULL)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.90.1"
"Ops.factor                   ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"Ops.ordered                  ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"Platform                     ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
"R.Version                    ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
"R.home                       ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
"R.version                    ","list       ","simple.list","TRUE","FALSE","NA","base   ","NA","0.90.1"
"R.version.string             ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
"RNGkind                      ","closure    ","           ","TRUE","FALSE","(kind = NULL)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.90.1"
"Re                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"Recall                       ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.90.1"
"Summary.data.frame           ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"Summary.factor               ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"T                            ","logical    ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
"UseMethod                    ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"Version                      ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
"X11                          ","closure    ","           ","TRUE","FALSE","(display = \""\"", width = 7, height = 7, pointsize = 12,     gamma = 1, colortype = options()$X11colortype, maxcubesize = 256)                                                                                                                                                                                                                                                                                          ","base   ","NA","0.90.1"
"[                            ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"[.data.frame                 ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = if (missing(i)) TRUE else length(cols) ==     1)                                                                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.90.1"
"[.factor                     ","closure    ","           ","TRUE","FALSE","(x, i, drop = FALSE)                                                                                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.90.1"
"[.formula                    ","closure    ","           ","TRUE","FALSE","(x, i)                                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.90.1"
"[.noquote                    ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"[.ts                         ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = TRUE)                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.90.1"
"[<-                          ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"[<-.data.frame               ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"[<-.factor                   ","closure    ","           ","TRUE","FALSE","(x, i, value)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.90.1"
"[[                           ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"[[.data.frame                ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"[[<-                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"[[<-.data.frame              ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"^                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"abbreviate                   ","closure    ","           ","TRUE","FALSE","(names.arg, minlength = 4, use.classes = TRUE, dot = FALSE)                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.90.1"
"abline                       ","closure    ","           ","TRUE","FALSE","(a = NULL, b = NULL, h = NULL, v = NULL, reg = NULL,     coef = NULL, untf = FALSE, col = par(\""col\""), lty = par(\""lty\""),     lwd = NULL, ...)                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"abs                          ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
