"name","type","class","exported","generic","args","package","priority","Rversion"
"!                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"!=                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"$                            ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"$<-                          ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"%%                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"%*%                          ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"%/%                          ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"%in%                         ","closure    ","           ","TRUE","FALSE","(x, y)                                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.90.1"
"%o%                          ","closure    ","           ","TRUE","FALSE","(X, Y, FUN = \""*\"", ...)                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.90.1"
"%x%                          ","closure    ","           ","TRUE","FALSE","(X, Y, FUN = \""*\"", make.dimnames = FALSE, ...)                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.90.1"
"&                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"&&                           ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"(                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"*                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"+                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"-                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".Alias                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".AutoloadEnv                 ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".C                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".Call                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".Defunct                     ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
".Deprecated                  ","closure    ","           ","TRUE","FALSE","(new)                                                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.90.1"
".Device                      ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Devices                     ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".External                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".Fortran                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".GlobalEnv                   ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Internal                    ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".Last.value                  ","NULL       ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Library                     ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Machine                     ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".NotYetImplemented           ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.90.1"
".NotYetUsed                  ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.90.1"
".Options                     ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Pars                        ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Pars.readonly               ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Platform                    ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".PostScript.Options          ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".Primitive                   ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
".lib.loc                     ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
".packages                    ","closure    ","           ","TRUE","FALSE","(all.available = FALSE, lib.loc = .lib.loc)                                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.90.1"
"/                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
":                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"<                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"<-                           ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"<<-                          ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"<=                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"==                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
">                            ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
">=                           ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"Arg                          ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"C                            ","closure    ","           ","TRUE","FALSE","(object, contr, how.many, ...)                                                                                                                                                                                                                                                                                                                                                                                         ","base   ","NA","0.90.1"
"CRAN.packages                ","closure    ","           ","TRUE","FALSE","(CRAN = .Options$CRAN, method = \""auto\"", contriburl = contrib.url(CRAN))                                                                                                                                                                                                                                                                                                                                              ","base   ","NA","0.90.1"
"Conj                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.90.1"
"D                            ","closure    ","           ","TRUE","FALSE","(expr, namevec)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.90.1"
"F                            ","logical    ","           ","TRUE","FALSE","NA","base   ","NA","0.90.1"
