"name","type","class","exported","S4generic","args","package","priority","Rversion"
"Math.data.frame           ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"Math.factor               ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"Mod                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"NCOL                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.62.3"
"NROW                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.62.3"
"NextMethod                ","closure    ","           ","TRUE","FALSE","(generic = NULL, object = NULL, ...)                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.62.3"
"Ops.data.frame            ","closure    ","           ","TRUE","FALSE","(e1, e2 = NULL)                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.62.3"
"Ops.factor                ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"Ops.ordered               ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"Re                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"Recall                    ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.62.3"
"Summary.data.frame        ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"Summary.factor            ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"T                         ","logical    ","           ","TRUE","FALSE","NA","base   ","NA","0.62.3"
"UseMethod                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"Version                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.62.3"
"X11                       ","closure    ","           ","TRUE","FALSE","(display = \""\"", width = 7, height = 7, pointsize = 12)                                                                                                                                                                                                                                                                                                ","base   ","NA","0.62.3"
"[                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"[.data.frame              ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = if (missing(i)) TRUE else length(cols) == \t    1)                                                                                                                                                                                                                                                                                    ","base   ","NA","0.62.3"
"[.factor                  ","closure    ","           ","TRUE","FALSE","(x, i, drop = FALSE)                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.62.3"
"[.formula                 ","closure    ","           ","TRUE","FALSE","(x, i)                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.62.3"
"[.noquote                 ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"[.ts                      ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = TRUE)                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.62.3"
"[<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"[<-.data.frame            ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"[<-.factor                ","closure    ","           ","TRUE","FALSE","(x, i, value)                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.62.3"
"[[                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"[[.data.frame             ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"[[<-                      ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"[[<-.data.frame           ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"^                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"abbreviate                ","closure    ","           ","TRUE","FALSE","(names.arg, minlength = 4, use.classes = TRUE, dot = FALSE)                                                                                                                                                                                                                                                                                            ","base   ","NA","0.62.3"
"abline                    ","closure    ","           ","TRUE","FALSE","(a = NULL, b = NULL, h = NULL, v = NULL, reg = NULL, \t    coef = NULL, col = par(\""col\""), lty = par(\""lty\""), ...)                                                                                                                                                                                                                                   ","base   ","NA","0.62.3"
"abs                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"acos                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"acosh                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"alias                     ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.62.3"
"alias.formula             ","closure    ","           ","TRUE","FALSE","(object, data, ...)                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.62.3"
"alias.lm                  ","closure    ","           ","TRUE","FALSE","(object, complete = TRUE, partial = FALSE, ...)                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.62.3"
"alist                     ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.62.3"
"all                       ","closure    ","           ","TRUE","FALSE","(..., na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.62.3"
"all.names                 ","closure    ","           ","TRUE","FALSE","(expr, functions = TRUE, max.names = 200, unique = FALSE)                                                                                                                                                                                                                                                                                              ","base   ","NA","0.62.3"
"all.vars                  ","closure    ","           ","TRUE","FALSE","(expr, functions = FALSE, max.names = 200, unique = TRUE)                                                                                                                                                                                                                                                                                              ","base   ","NA","0.62.3"
"anova                     ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"anova.glm                 ","closure    ","           ","TRUE","FALSE","(object, ..., test = NULL, na.action = na.omit)                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.62.3"
"anova.glm.null            ","closure    ","           ","TRUE","FALSE","(object, ..., test = NULL, na.action = na.omit)                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.62.3"
"anova.glmlist             ","closure    ","           ","TRUE","FALSE","(object, test = NULL, na.action = na.omit)                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.62.3"
"anova.lm                  ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.62.3"
"anova.lm.null             ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.62.3"
"anovalist.lm              ","closure    ","           ","TRUE","FALSE","(object, ..., test = NULL)                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.62.3"
"any                       ","closure    ","           ","TRUE","FALSE","(..., na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.62.3"
"aov                       ","closure    ","           ","TRUE","FALSE","(formula, data = sys.parent(), projections = FALSE, \t    contrasts = NULL, ...)                                                                                                                                                                                                                                                                       ","base   ","NA","0.62.3"
"aperm                     ","closure    ","           ","TRUE","FALSE","(a, perm, resize = TRUE)                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"append                    ","closure    ","           ","TRUE","FALSE","(x, values, after = length(x))                                                                                                                                                                                                                                                                                                                         ","base   ","NA","0.62.3"
"apply                     ","closure    ","           ","TRUE","FALSE","(X, MARGIN, FUN, ...)                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.62.3"
"approx                    ","closure    ","           ","TRUE","FALSE","(x, y = NULL, xout, method = \""linear\"", n = 50, yleft, \t    yright, rule = 1, f = 0)                                                                                                                                                                                                                                                                 ","base   ","NA","0.62.3"
"approxfun                 ","closure    ","           ","TRUE","FALSE","(x, y = NULL, method = \""linear\"", yleft, yright, rule = 1, \t    f = 0)                                                                                                                                                                                                                                                                               ","base   ","NA","0.62.3"
"apropos                   ","closure    ","           ","TRUE","FALSE","(what, where = FALSE, mode = \""any\"")                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.62.3"
"args                      ","closure    ","           ","TRUE","FALSE","(name)                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.62.3"
