"name","type","class","exported","S4generic","args","package","priority","Rversion"
"!                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"!=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"$                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"$<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"%%                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"%*%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"%/%                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"%in%                      ","closure    ","           ","TRUE","FALSE","(x, y)                                                                                                                                                                                                                                                                                                                                                         ","base   ","NA","0.63.2"
"%o%                       ","closure    ","           ","TRUE","FALSE","(x, y, FUN = \""*\"", ...)                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"&                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"&&                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"(                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"*                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"+                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"-                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
".Alias                    ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
".AutoloadEnv              ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".C                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
".Defunct                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.63.2"
".Deprecated               ","closure    ","           ","TRUE","FALSE","(new)                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.63.2"
".Device                   ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Devices                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Fortran                  ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
".GlobalEnv                ","environment","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Internal                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
".Last.value               ","NULL       ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Library                  ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Machine                  ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".NotYetImplemented        ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.63.2"
".NotYetUsed               ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.63.2"
".Options                  ","pairlist   ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Pars                     ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Pars.readonly            ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".Platform                 ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".PostScript.Options       ","list       ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".lib.loc                  ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
".packages                 ","closure    ","           ","TRUE","FALSE","(all.available = FALSE, lib.loc = .lib.loc)                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.63.2"
"/                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
":                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"<                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"<-                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"<<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"<=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"==                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
">                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
">=                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"Arg                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"C                         ","closure    ","           ","TRUE","FALSE","(object, contr, how.many)                                                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.63.2"
"Conj                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"D                         ","closure    ","           ","TRUE","FALSE","(expr, namevec)                                                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.63.2"
"F                         ","logical    ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
"Gamma                     ","closure    ","           ","TRUE","FALSE","(link = \""inverse\"")                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.63.2"
"I                         ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.63.2"
"IQR                       ","closure    ","           ","TRUE","FALSE","(x, na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.63.2"
"Im                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"LETTERS                   ","character  ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
"Machine                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.63.2"
"Math.data.frame           ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"Math.factor               ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"Mod                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"NCOL                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.63.2"
"NROW                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.63.2"
"NextMethod                ","closure    ","           ","TRUE","FALSE","(generic = NULL, object = NULL, ...)                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.63.2"
"Ops.data.frame            ","closure    ","           ","TRUE","FALSE","(e1, e2 = NULL)                                                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.63.2"
"Ops.factor                ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"Ops.ordered               ","closure    ","           ","TRUE","FALSE","(e1, e2)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"RNGkind                   ","closure    ","           ","TRUE","FALSE","(kind = NULL)                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.63.2"
"Re                        ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"Recall                    ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.63.2"
"Summary.data.frame        ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"Summary.factor            ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"T                         ","logical    ","           ","TRUE","FALSE","NA","base   ","NA","0.63.2"
"UseMethod                 ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"Version                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.63.2"
"X11                       ","closure    ","           ","TRUE","FALSE","(display = \""\"", width = 7, height = 7, pointsize = 12)                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.63.2"
