"name","type","class","exported","S4generic","args","package","priority","Rversion"
"[                         ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"[.data.frame              ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = if (missing(i)) TRUE else length(cols) ==     1)                                                                                                                                                                                                                                                                                              ","base   ","NA","0.63.2"
"[.factor                  ","closure    ","           ","TRUE","FALSE","(x, i, drop = FALSE)                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.63.2"
"[.formula                 ","closure    ","           ","TRUE","FALSE","(x, i)                                                                                                                                                                                                                                                                                                                                                         ","base   ","NA","0.63.2"
"[.noquote                 ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"[.ts                      ","closure    ","           ","TRUE","FALSE","(x, i, j, drop = TRUE)                                                                                                                                                                                                                                                                                                                                         ","base   ","NA","0.63.2"
"[<-                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"[<-.data.frame            ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"[<-.factor                ","closure    ","           ","TRUE","FALSE","(x, i, value)                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.63.2"
"[[                        ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"[[.data.frame             ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"[[<-                      ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"[[<-.data.frame           ","closure    ","           ","TRUE","FALSE","(x, i, j, value)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"^                         ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"abbreviate                ","closure    ","           ","TRUE","FALSE","(names.arg, minlength = 4, use.classes = TRUE, dot = FALSE)                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.63.2"
"abline                    ","closure    ","           ","TRUE","FALSE","(a = NULL, b = NULL, h = NULL, v = NULL, reg = NULL,     coef = NULL, col = par(\""col\""), lty = par(\""lty\""), ...)                                                                                                                                                                                                                                             ","base   ","NA","0.63.2"
"abs                       ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"acos                      ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"acosh                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"add.scope                 ","closure    ","           ","TRUE","FALSE","(terms1, terms2)                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.63.2"
"add1                      ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.63.2"
"add1.default              ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\""),     k = 2, trace = FALSE, ...)                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"add1.glm                  ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\""),     x = NULL, k = 2, ...)                                                                                                                                                                                                                                                                            ","base   ","NA","0.63.2"
"add1.lm                   ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\"",     \""F\""), x = NULL, k = 2, ...)                                                                                                                                                                                                                                                                     ","base   ","NA","0.63.2"
"add1.mlm                  ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.63.2"
"aggregate                 ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"aggregate.data.frame      ","closure    ","           ","TRUE","FALSE","(x, by, FUN, ...)                                                                                                                                                                                                                                                                                                                                              ","base   ","NA","0.63.2"
"aggregate.default         ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"aggregate.ts              ","closure    ","           ","TRUE","FALSE","(x, nfrequency = 1, FUN = sum, ndeltat = 1, ts.eps = .Options$ts.eps)                                                                                                                                                                                                                                                                                          ","base   ","NA","0.63.2"
"alias                     ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.63.2"
"alias.formula             ","closure    ","           ","TRUE","FALSE","(object, data, ...)                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.63.2"
"alias.lm                  ","closure    ","           ","TRUE","FALSE","(object, complete = TRUE, partial = FALSE, partial.pattern = FALSE,     ...)                                                                                                                                                                                                                                                                                   ","base   ","NA","0.63.2"
"alist                     ","closure    ","           ","TRUE","FALSE","(...)                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.63.2"
"all                       ","closure    ","           ","TRUE","FALSE","(..., na.rm = FALSE)                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.63.2"
"all.names                 ","closure    ","           ","TRUE","FALSE","(expr, functions = TRUE, max.names = 200, unique = FALSE)                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.63.2"
"all.vars                  ","closure    ","           ","TRUE","FALSE","(expr, functions = FALSE, max.names = 200, unique = TRUE)                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.63.2"
"anova                     ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.63.2"
"anova.glm                 ","closure    ","           ","TRUE","FALSE","(object, ..., test = NULL, na.action = na.omit)                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.63.2"
