name,type,class,S3method,generic,package,Rversion
Sys.time,closure,function,FALSE,FALSE,base,3.4.0
Sys.timezone,closure,function,FALSE,FALSE,base,3.4.0
Sys.umask,closure,function,FALSE,FALSE,base,3.4.0
Sys.unsetenv,closure,function,FALSE,FALSE,base,3.4.0
Sys.which,closure,function,FALSE,FALSE,base,3.4.0
T,logical,logical,FALSE,FALSE,base,3.4.0
UseMethod,special,function,FALSE,FALSE,base,3.4.0
Vectorize,closure,function,FALSE,FALSE,base,3.4.0
[,special,function,FALSE,TRUE,base,3.4.0
[.AsIs,closure,function,TRUE,FALSE,base,3.4.0
[.Date,closure,function,TRUE,FALSE,base,3.4.0
[.Dlist,closure,function,TRUE,FALSE,base,3.4.0
[.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
[.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
[.data.frame,closure,function,TRUE,FALSE,base,3.4.0
[.difftime,closure,function,TRUE,FALSE,base,3.4.0
[.factor,closure,function,TRUE,FALSE,base,3.4.0
[.hexmode,closure,function,TRUE,FALSE,base,3.4.0
[.listof,closure,function,TRUE,FALSE,base,3.4.0
[.noquote,closure,function,TRUE,FALSE,base,3.4.0
[.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
[.octmode,closure,function,TRUE,FALSE,base,3.4.0
[.simple.list,closure,function,TRUE,FALSE,base,3.4.0
[.table,closure,function,TRUE,FALSE,base,3.4.0
[.warnings,closure,function,TRUE,FALSE,base,3.4.0
[<-,special,function,FALSE,TRUE,base,3.4.0
[<-.Date,closure,function,TRUE,FALSE,base,3.4.0
[<-.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
[<-.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
[<-.data.frame,closure,function,TRUE,FALSE,base,3.4.0
[<-.factor,closure,function,TRUE,FALSE,base,3.4.0
[<-.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
[[,special,function,FALSE,FALSE,base,3.4.0
[[.Date,closure,function,TRUE,FALSE,base,3.4.0
[[.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
[[.data.frame,closure,function,TRUE,FALSE,base,3.4.0
[[.factor,closure,function,TRUE,FALSE,base,3.4.0
