"name","type","class","S3method","generic","package","Rversion"
"!","builtin","function",FALSE,FALSE,"base","3.3.3"
"!.hexmode","closure","function",TRUE,FALSE,"base","3.3.3"
"!.octmode","closure","function",TRUE,FALSE,"base","3.3.3"
"!=","builtin","function",FALSE,TRUE,"base","3.3.3"
"$","special","function",FALSE,TRUE,"base","3.3.3"
"$.DLLInfo","closure","function",TRUE,FALSE,"base","3.3.3"
"$.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"$.package_version","closure","function",TRUE,FALSE,"base","3.3.3"
"$<-","special","function",FALSE,TRUE,"base","3.3.3"
"$<-.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"%%","builtin","function",FALSE,TRUE,"base","3.3.3"
"%*%","builtin","function",FALSE,FALSE,"base","3.3.3"
"%/%","builtin","function",FALSE,TRUE,"base","3.3.3"
"%in%","closure","function",FALSE,FALSE,"base","3.3.3"
"%o%","closure","function",FALSE,FALSE,"base","3.3.3"
"%x%","closure","function",FALSE,FALSE,"base","3.3.3"
"&","builtin","function",FALSE,TRUE,"base","3.3.3"
"&&","special","function",FALSE,FALSE,"base","3.3.3"
"&.hexmode","closure","function",TRUE,FALSE,"base","3.3.3"
"&.octmode","closure","function",TRUE,FALSE,"base","3.3.3"
"(","builtin","function",FALSE,FALSE,"base","3.3.3"
"*","builtin","function",FALSE,TRUE,"base","3.3.3"
"*.difftime","closure","function",TRUE,FALSE,"base","3.3.3"
"+","builtin","function",FALSE,TRUE,"base","3.3.3"
"+.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"+.POSIXt","closure","function",TRUE,FALSE,"base","3.3.3"
"-","builtin","function",FALSE,TRUE,"base","3.3.3"
"-.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"-.POSIXt","closure","function",TRUE,FALSE,"base","3.3.3"
"/","builtin","function",FALSE,TRUE,"base","3.3.3"
"/.difftime","closure","function",TRUE,FALSE,"base","3.3.3"
":","builtin","function",FALSE,FALSE,"base","3.3.3"
"::","closure","function",FALSE,FALSE,"base","3.3.3"
":::","closure","function",FALSE,FALSE,"base","3.3.3"
"<","builtin","function",FALSE,TRUE,"base","3.3.3"
"<-","special","function",FALSE,FALSE,"base","3.3.3"
"<<-","special","function",FALSE,FALSE,"base","3.3.3"
"<=","builtin","function",FALSE,TRUE,"base","3.3.3"
"=","special","function",FALSE,FALSE,"base","3.3.3"
"==","builtin","function",FALSE,TRUE,"base","3.3.3"
">","builtin","function",FALSE,TRUE,"base","3.3.3"
">=","builtin","function",FALSE,TRUE,"base","3.3.3"
"@","special","function",FALSE,FALSE,"base","3.3.3"
"@<-","special","function",FALSE,FALSE,"base","3.3.3"
"Arg","builtin","function",FALSE,FALSE,"base","3.3.3"
"Conj","builtin","function",FALSE,FALSE,"base","3.3.3"
"Cstack_info","closure","function",FALSE,FALSE,"base","3.3.3"
"Encoding","closure","function",FALSE,FALSE,"base","3.3.3"
"Encoding<-","closure","function",FALSE,FALSE,"base","3.3.3"
"F","logical","logical",FALSE,FALSE,"base","3.3.3"
"Filter","closure","function",FALSE,FALSE,"base","3.3.3"
"Find","closure","function",FALSE,FALSE,"base","3.3.3"
"I","closure","function",FALSE,FALSE,"base","3.3.3"
"ISOdate","closure","function",FALSE,FALSE,"base","3.3.3"
"ISOdatetime","closure","function",FALSE,FALSE,"base","3.3.3"
"Im","builtin","function",FALSE,FALSE,"base","3.3.3"
"LETTERS","character","character",FALSE,FALSE,"base","3.3.3"
"La.svd","closure","function",FALSE,FALSE,"base","3.3.3"
"La_version","closure","function",FALSE,FALSE,"base","3.3.3"
"Map","closure","function",FALSE,FALSE,"base","3.3.3"
"Math.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"Math.POSIXt","closure","function",TRUE,FALSE,"base","3.3.3"
"Math.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"Math.difftime","closure","function",TRUE,FALSE,"base","3.3.3"
"Math.factor","closure","function",TRUE,FALSE,"base","3.3.3"
"Mod","builtin","function",FALSE,FALSE,"base","3.3.3"
"NCOL","closure","function",FALSE,FALSE,"base","3.3.3"
"NROW","closure","function",FALSE,FALSE,"base","3.3.3"
"Negate","closure","function",FALSE,FALSE,"base","3.3.3"
"NextMethod","closure","function",FALSE,FALSE,"base","3.3.3"
"OlsonNames","closure","function",FALSE,FALSE,"base","3.3.3"
"Ops.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"Ops.POSIXt","closure","function",TRUE,FALSE,"base","3.3.3"
"Ops.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"Ops.difftime","closure","function",TRUE,FALSE,"base","3.3.3"
"Ops.factor","closure","function",TRUE,FALSE,"base","3.3.3"
"Ops.numeric_version","closure","function",TRUE,FALSE,"base","3.3.3"
"Ops.ordered","closure","function",TRUE,FALSE,"base","3.3.3"
"Position","closure","function",FALSE,FALSE,"base","3.3.3"
"R.Version","closure","function",FALSE,FALSE,"base","3.3.3"
"R.home","closure","function",FALSE,FALSE,"base","3.3.3"
"R.version","list","simple.list",FALSE,FALSE,"base","3.3.3"
"R.version.string","character","character",FALSE,FALSE,"base","3.3.3"
"RNGkind","closure","function",FALSE,FALSE,"base","3.3.3"
"RNGversion","closure","function",FALSE,FALSE,"base","3.3.3"
"R_system_version","closure","function",FALSE,FALSE,"base","3.3.3"
"Re","builtin","function",FALSE,FALSE,"base","3.3.3"
"Recall","closure","function",FALSE,FALSE,"base","3.3.3"
"Reduce","closure","function",FALSE,FALSE,"base","3.3.3"
"Summary.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"Summary.POSIXct","closure","function",TRUE,FALSE,"base","3.3.3"
"Summary.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.3"
"Summary.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"Summary.difftime","closure","function",TRUE,FALSE,"base","3.3.3"
"Summary.factor","closure","function",TRUE,FALSE,"base","3.3.3"
"Summary.numeric_version","closure","function",TRUE,FALSE,"base","3.3.3"
"Summary.ordered","closure","function",TRUE,FALSE,"base","3.3.3"
"Sys.Date","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.chmod","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.getenv","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.getlocale","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.getpid","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.glob","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.info","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.localeconv","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.readlink","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.setFileTime","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.setenv","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.setlocale","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.sleep","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.time","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.timezone","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.umask","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.unsetenv","closure","function",FALSE,FALSE,"base","3.3.3"
"Sys.which","closure","function",FALSE,FALSE,"base","3.3.3"
"T","logical","logical",FALSE,FALSE,"base","3.3.3"
"UseMethod","special","function",FALSE,FALSE,"base","3.3.3"
"Vectorize","closure","function",FALSE,FALSE,"base","3.3.3"
"[","special","function",FALSE,TRUE,"base","3.3.3"
"[.AsIs","closure","function",TRUE,FALSE,"base","3.3.3"
"[.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"[.Dlist","closure","function",TRUE,FALSE,"base","3.3.3"
"[.POSIXct","closure","function",TRUE,FALSE,"base","3.3.3"
"[.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.3"
"[.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"[.difftime","closure","function",TRUE,FALSE,"base","3.3.3"
"[.factor","closure","function",TRUE,FALSE,"base","3.3.3"
"[.hexmode","closure","function",TRUE,FALSE,"base","3.3.3"
"[.listof","closure","function",TRUE,FALSE,"base","3.3.3"
"[.noquote","closure","function",TRUE,FALSE,"base","3.3.3"
"[.numeric_version","closure","function",TRUE,FALSE,"base","3.3.3"
"[.octmode","closure","function",TRUE,FALSE,"base","3.3.3"
"[.simple.list","closure","function",TRUE,FALSE,"base","3.3.3"
"[.table","closure","function",TRUE,FALSE,"base","3.3.3"
"[.warnings","closure","function",TRUE,FALSE,"base","3.3.3"
"[<-","special","function",FALSE,TRUE,"base","3.3.3"
"[<-.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"[<-.POSIXct","closure","function",TRUE,FALSE,"base","3.3.3"
"[<-.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.3"
"[<-.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"[<-.factor","closure","function",TRUE,FALSE,"base","3.3.3"
"[<-.numeric_version","closure","function",TRUE,FALSE,"base","3.3.3"
"[[","special","function",FALSE,FALSE,"base","3.3.3"
"[[.Date","closure","function",TRUE,FALSE,"base","3.3.3"
"[[.POSIXct","closure","function",TRUE,FALSE,"base","3.3.3"
"[[.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"[[.factor","closure","function",TRUE,FALSE,"base","3.3.3"
"[[.numeric_version","closure","function",TRUE,FALSE,"base","3.3.3"
"[[<-","special","function",FALSE,TRUE,"base","3.3.3"
"[[<-.data.frame","closure","function",TRUE,FALSE,"base","3.3.3"
"[[<-.factor","closure","function",TRUE,FALSE,"base","3.3.3"
"[[<-.numeric_version","closure","function",TRUE,FALSE,"base","3.3.3"
"^","builtin","function",FALSE,TRUE,"base","3.3.3"
"abbreviate","closure","function",FALSE,FALSE,"base","3.3.3"
"abs","builtin","function",FALSE,TRUE,"base","3.3.3"
"acos","builtin","function",FALSE,TRUE,"base","3.3.3"
"acosh","builtin","function",FALSE,TRUE,"base","3.3.3"
"addNA","closure","function",FALSE,FALSE,"base","3.3.3"
"addTaskCallback","closure","function",FALSE,FALSE,"base","3.3.3"
"agrep","closure","function",FALSE,FALSE,"base","3.3.3"
"agrepl","closure","function",FALSE,FALSE,"base","3.3.3"
"alist","closure","function",FALSE,FALSE,"base","3.3.3"
"all","builtin","function",FALSE,FALSE,"base","3.3.3"
"all.equal","closure","function",FALSE,FALSE,"base","3.3.3"
"all.equal.POSIXt","closure","function",TRUE,FALSE,"base","3.3.3"
"all.equal.character","closure","function",TRUE,FALSE,"base","3.3.3"
